"Step","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-K-B-L/M-K-B-L_return","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-K-B-L/M-K-B-L_return__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-K-B-L/M-K-B-L_return__MAX"
"55","4","4","4"
"56","3","3","3"
"57","1","1","1"
"58","0","0","0"
"59","2","2","2"
"60","3","3","3"
"61","2","2","2"
"62","2","2","2"
"63","0","0","0"
"64","0","0","0"
"65","3","3","3"
"66","2","2","2"
"67","3","3","3"
"68","2","2","2"
"69","2","2","2"
"70","4","4","4"
"71","4","4","4"
"72","2","2","2"
"73","4","4","4"
"74","0","0","0"
"75","2","2","2"
"76","2","2","2"
"77","2","2","2"
"78","2","2","2"
"79","2","2","2"
"80","2","2","2"
"81","4","4","4"
"82","1","1","1"
"83","2","2","2"
"84","2","2","2"
"85","2","2","2"
"86","3","3","3"
"87","2","2","2"
"88","2","2","2"
"89","4","4","4"
"90","2","2","2"
"91","4","4","4"
"92","4","4","4"
"93","4","4","4"
"94","3","3","3"
"95","0","0","0"
"96","4","4","4"
"97","2","2","2"
"98","2","2","2"
"99","3","3","3"
"100","3","3","3"
"101","4","4","4"
"102","2","2","2"
"103","2","2","2"
"104","1","1","1"
"105","3","3","3"
"106","2","2","2"
"107","4","4","4"
"108","4","4","4"
"109","2","2","2"
"110","2","2","2"
"111","4","4","4"
"112","3","3","3"
"113","4","4","4"
"114","4","4","4"
"115","2","2","2"
"116","2","2","2"
"117","4","4","4"
"118","2","2","2"
"119","4","4","4"
"120","2","2","2"
"121","3","3","3"
"122","4","4","4"
"123","2","2","2"
"124","2","2","2"
"125","3","3","3"
"126","2","2","2"
"127","4","4","4"
"128","2","2","2"
"129","2","2","2"
"130","4","4","4"
"131","4","4","4"
"132","4","4","4"
"133","3","3","3"
"134","2","2","2"
"135","2","2","2"
"136","4","4","4"
"137","4","4","4"
"138","2","2","2"
"139","4","4","4"
"140","3","3","3"
"141","2","2","2"
"142","3","3","3"
"143","4","4","4"
"144","3","3","3"
"145","4","4","4"
"146","4","4","4"
"147","4","4","4"
"148","4","4","4"
"149","3","3","3"
"150","4","4","4"
"151","4","4","4"
"152","4","4","4"
"153","3","3","3"