"M-K-B-T/n_ep","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MAX","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-K-B-T/M-K-B-T_return","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-K-B-T/M-K-B-T_return__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-K-B-T/M-K-B-T_return__MAX"
"0","0","0","0","2","2","2"
"1","1","1","1","3","3","3"
"2","2","2","2","0","0","0"
"3","3","3","3","1","1","1"
"4","4","4","4","4","4","4"
"5","5","5","5","4","4","4"
"6","6","6","6","2","2","2"
"7","7","7","7","0","0","0"
"8","8","8","8","3","3","3"
"9","9","9","9","2","2","2"
"10","10","10","10","4","4","4"
"11","11","11","11","4","4","4"
"12","12","12","12","2","2","2"
"13","13","13","13","3","3","3"
"14","14","14","14","4","4","4"
"15","15","15","15","2","2","2"
"16","16","16","16","4","4","4"
"17","17","17","17","3","3","3"
"18","18","18","18","3","3","3"
"19","19","19","19","1","1","1"
"20","20","20","20","0","0","0"
"21","21","21","21","0","0","0"
"22","22","22","22","4","4","4"
"23","23","23","23","2","2","2"
"24","24","24","24","4","4","4"
"25","25","25","25","3","3","3"
"26","26","26","26","3","3","3"
"27","27","27","27","4","4","4"
"28","28","28","28","3","3","3"
"29","29","29","29","2","2","2"
"30","30","30","30","3","3","3"
"31","31","31","31","3","3","3"
"32","32","32","32","4","4","4"
"33","33","33","33","3","3","3"
"34","34","34","34","3","3","3"
"35","35","35","35","4","4","4"
"36","36","36","36","4","4","4"
"37","37","37","37","2","2","2"
"38","38","38","38","4","4","4"
"39","39","39","39","4","4","4"
"40","40","40","40","2","2","2"
"41","41","41","41","3","3","3"
"42","42","42","42","3","3","3"
"43","43","43","43","4","4","4"
"44","44","44","44","2","2","2"
"45","45","45","45","3","3","3"
"46","46","46","46","4","4","4"
"47","47","47","47","4","4","4"
"48","48","48","48","4","4","4"
"49","49","49","49","3","3","3"
"50","50","50","50","4","4","4"
"51","51","51","51","4","4","4"
"52","52","52","52","4","4","4"
"53","53","53","53","2","2","2"
"54","54","54","54","3","3","3"